input,output
"Farmley Potli 800 gms - Roasted and salted Cashews 200 gms, Nutty Mix 200 gms, Berry Mix 200 gms, and Protein Mix 200 gms","Masala, Dry Fruits & More > Dry Fruits & Seeds"
Borges Extra Light Olive Oil Bottle,"Atta, Rice, Oil & Dals > Oil"
boAt Stone 190/193 5W Portable Wireless Speaker With Ipx7 Water Resistance(Black) 1 PIECE,Home Needs > Electricals
"boAt Rockerz 235V2/238V2 Wireless Neckband With Fast Charge,Up To 8H Playtime (Black) 1 PIECE",Home Needs > Electricals
Oleev Active Oil Jar,"Atta, Rice, Oil & Dals > Oil"
Dhara Health Refined Sun Flower Oil Jar,"Atta, Rice, Oil & Dals > Oil"
Saffola Gold (Jar),"Atta, Rice, Oil & Dals > Oil"
"Farmley Potli 900 gms - Premium Almonds 250 gms, W320 Cashews 250 gms, Pistachios 200 gms and Raisins 200 gms","Masala, Dry Fruits & More > Dry Fruits & Seeds"
Fortune Sunlite Refined Sunflower (Jar),"Atta, Rice, Oil & Dals > Oil"
Popular Essentials Bullet Wada Kolam Raw Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
boAt Ltg 500 Indestructible Nylon Braided 1M Usb To Lightning Cable (Grey),Home Needs > Electricals
Protinex Tasty Chocolate Refill,"Tea, Coffee & More > Health Drink Mixes"
Gold Winner Refined Sunflower Oil,"Atta, Rice, Oil & Dals > Oil"
Freedom Refined Sunflower Oil,"Atta, Rice, Oil & Dals > Oil"
Whiskas Kitten (2-12 months) Dry Cat Food Ocean Fish Flavour,Packaged Food > Pet Food
Dhara Kachi Ghani Mustard Oil Jar,"Atta, Rice, Oil & Dals > Oil"
Slimjim Original Roach Pad,Paan Corner > Smoking Accessories
Gillette Fusion Cartridges,Hygiene & Grooming > Men's Grooming
Farmley Jumbo California Walnut Inshell Farmley Monocarton,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Saffola Tasty Pro Fitness Conscious Edible Oil (Jar),"Atta, Rice, Oil & Dals > Oil"
Daawat Traditional Basmati Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Fortune Soyabean Oil,"Atta, Rice, Oil & Dals > Oil"
Sunpure Refined Sunflower,"Atta, Rice, Oil & Dals > Oil"
Buffet Foods Breaded Fish Finger,Packaged Food > Non Veg - Frozen
Lakme Youth Infinity Day Creme,Bath & Body > Face & Body Creams
Durex Intense Vibe Ring for Extra Pleasure for Men & Women | Compatible with Condoms & Lubes,Health & Baby Care > Sexual Wellness
GRB Ghee Jar,"Atta, Rice, Oil & Dals > Ghee"
Pampers Diapers - Extra Large Size Premium Care Pants,Health & Baby Care > Diapers & Wipes
Pampers Diaper Pants - XL,Health & Baby Care > Diapers & Wipes
Pampers Diaper Pants - L,Health & Baby Care > Diapers & Wipes
Head & Shoulders Smooth and Silky Anti Dandruff Shampoo,Bath & Body > Shampoo & Conditioner
Popular Essentials Super Sona Masuri Raw Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Sundrop Superlite Advanced Oil - Sunflower,"Atta, Rice, Oil & Dals > Oil"
Durex Play Massage 2-In-1 Aloe Vera Lube,Health & Baby Care > Sexual Wellness
Daawat Super Basmati,"Atta, Rice, Oil & Dals > Rice & Cereals"
Ariel Complete Detergent Powder,Cleaning Essentials > Laundry Detergents
Nestle Nan Pro Follow-Up Formula Stage 1,Packaged Food > Baby Food
Nuttero Blueberry Dry Fruit,Fruits & Vegetables > Dried & Dehydrated Fruits
Surf Excel Easy Wash Detergent Powder,Cleaning Essentials > Laundry Detergents
Popular Essentials Premium Jeera Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Popular Essentials Rozana Sona Masuri Raw Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Nestle Nan Pro Stage 2 Follow-up Formula Powder,Packaged Food > Baby Food
Happilo 100% Natural Premium Whole Cashews,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",Bath & Body > Hair Colour & Cream
"L'Oreal Paris Excellence Creme Hair Color, 1 Black",Bath & Body > Hair Colour & Cream
"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",Bath & Body > Hair Colour & Cream
Nestle Nan Pro Stage 3 Follow-up Formula Powder,Packaged Food > Baby Food
Lakmé Absolute Youth Infinity Night Creme,Bath & Body > Face & Body Creams
Red Bull Energy Drink Pack Of 6,Cold Drinks & Juices > Non-Alco & Energy Drink
