,prompt,response
0,"Given breadcrumb: 'Electronics>Mobile>Accessories>Screen Protectors'
Options: 
1. 'Electronics>Mobile>Accessories>Headphones'
2. 'Electronics>Tablets>Accessories>Screen Protectors'
3. 'Electronics>Mobile>Accessories>Phone Cases'
4. 'Electronics>Mobile>Accessories>Chargers'",'Electronics>Tablets>Accessories>Screen Protectors'
1,"Given breadcrumb: 'Health & Beauty>Makeup>Lipstick'
Options: 
1. 'Clothing & Accessories>Women's Clothing>Dresses'
2. 'Health & Beauty>Skin Care>Moisturizers'
3. 'Health & Beauty>Makeup>Lip Gloss'
4. 'Electronics>Computers & Tablets>Laptops'",'Health & Beauty>Makeup>Lip Gloss'
2,"Given breadcrumb: 'Home & Kitchen>Furniture>Sofas'
Options: 
1. 'Home & Kitchen>Furniture>Chairs'
2. 'Home & Kitchen>Kitchen & Dining>Tableware'
3. 'Home & Kitchen>Furniture>Tables'
4. 'Electronics>TV & Home Theater>Televisions'",'Home & Kitchen>Furniture>Chairs'
3,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Fishing>Fishing Rods'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
3. 'Sports & Outdoors>Outdoor Recreation>Cycling>Bicycles'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
4,"Given breadcrumb: 'Toys & Games>Games & Puzzles>Board Games'
Options: 
1. 'Toys & Games>Dolls & Accessories>Dolls'
2. 'Toys & Games>Games & Puzzles>Puzzles'
3. 'Home & Kitchen>Kitchen & Dining>Cookware'
4. 'Electronics>TV & Home Theater>Televisions'",'Toys & Games>Games & Puzzles>Puzzles'
5,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Clutches'
2. 'Automotive>Motorcycle & Powersports>Helmets'
3. 'Automotive>Motorcycle & Powersports>Parts>Exhaust'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Clutches'
6,"Given breadcrumb: 'Office Products>Office Furniture & Lighting>Desks & Workstations'
Options: 
1. 'Office Products>Office Furniture & Lighting>Chairs & Sofas'
2. 'Home & Kitchen>Furniture>Sofas'
3. 'Office Products>Office Supplies>Pens & Pencils'
4. 'Electronics>Computers & Tablets>Desktops'",'Office Products>Office Furniture & Lighting>Chairs & Sofas'
7,"Given breadcrumb: 'Pet Supplies>Dogs>Food'
Options: 
1. 'Pet Supplies>Cats>Food'
2. 'Home & Kitchen>Kitchen & Dining>Tableware'
3. 'Pet Supplies>Dogs>Toys'
4. 'Electronics>TV & Home Theater>Televisions'",'Pet Supplies>Cats>Food'
8,"Given breadcrumb: 'Grocery & Gourmet Food>Beverages>Coffee>Ground Coffee'
Options: 
1. 'Grocery & Gourmet Food>Beverages>Tea>Green Tea'
2. 'Grocery & Gourmet Food>Beverages>Coffee>Whole Bean Coffee'
3. 'Grocery & Gourmet Food>Beverages>Soft Drinks'
4. 'Electronics>Computers & Tablets>Desktops'",'Grocery & Gourmet Food>Beverages>Coffee>Whole Bean Coffee'
9,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Watches>Wrist Watches'
Options: 
1. 'Clothing, Shoes & Jewelry>Women>Watches>Wrist Watches'
2. 'Clothing, Shoes & Jewelry>Men>Accessories>Sunglasses & Eyewear Accessories'
3. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Women>Watches>Wrist Watches'"
10,"Given breadcrumb: 'Musical Instruments>Guitars>Electric Guitars'
Options: 
1. 'Musical Instruments>Guitars>Acoustic Guitars'
2. 'Musical Instruments>Drums & Percussion>Drum Sets & Set Components'
3. 'Musical Instruments>Keyboards & MIDI>Electronic Keyboards'
4. 'Electronics>Computers & Tablets>Desktops'",'Musical Instruments>Guitars>Acoustic Guitars'
11,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Body & Frame Parts'
2. 'Automotive>Motorcycle & Powersports>Parts>Drive Train'
3. 'Automotive>Motorcycle & Powersports>Parts>Engines'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Body & Frame Parts'
12,"Given breadcrumb: 'Sports & Outdoors>Fitness Equipment>Treadmills'
Options: 
1. 'Sports & Outdoors>Fitness Equipment>Exercise Bikes'
2. 'Sports & Outdoors>Outdoor Recreation>Cycling>Bicycles'
3. 'Sports & Outdoors>Fitness Equipment>Weights'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Fitness Equipment>Exercise Bikes'
13,"Given breadcrumb: 'Electronics>Camera & Photo>DSLR Cameras'
Options: 
1. 'Electronics>Camera & Photo>Point & Shoot Digital Cameras'
2. 'Electronics>Camera & Photo>Camcorders'
3. 'Electronics>Camera & Photo>Camera Lenses'
4. 'Electronics>Computers & Tablets>Desktops'",'Electronics>Camera & Photo>Point & Shoot Digital Cameras'
